Finish No.258 image, Processing time : 8.851881980895996
Finish No.259 image, Processing time : 9.488551139831543
Finish No.260 image, Processing time : 9.636022090911865
Finish No.261 image, Processing time : 9.465413093566895
Finish No.262 image, Processing time : 9.040868043899536
Finish No.263 image, Processing time : 9.609974145889282
Finish No.264 image, Processing time : 9.556508779525757
Finish No.265 image, Processing time : 8.9410400390625
Finish No.266 image, Processing time : 8.89887523651123
Finish No.267 image, Processing time : 9.482920408248901
Finish No.268 image, Processing time : 9.593627452850342
Finish No.269 image, Processing time : 9.089759111404419
Finish No.270 image, Processing time : 9.632318258285522
Finish No.271 image, Processing time : 9.057125806808472
Finish No.272 image, Processing time : 9.089791774749756
Finish No.273 image, Processing time : 8.991758346557617
Finish No.274 image, Processing time : 9.050045728683472
Finish No.275 image, Processing time : 9.771539449691772
Finish No.276 image, Processing time : 9.137368440628052
Finish No.277 image, Processing time : 9.68747615814209
Finish No.278 image, Processing time : 9.602093935012817
Finish No.279 image, Processing time : 9.574987649917603
Finish No.280 image, Processing time : 9.052242755889893
Finish No.281 image, Processing time : 9.68233060836792
Finish No.282 image, Processing time : 9.753113031387329
Finish No.283 image, Processing time : 9.036670684814453
Finish No.284 image, Processing time : 9.830181360244751
Finish No.285 image, Processing time : 8.993595361709595
Finish No.286 image, Processing time : 9.79882550239563
Finish No.287 image, Processing time : 9.878060579299927
Finish No.288 image, Processing time : 9.66804838180542
Finish No.289 image, Processing time : 9.328214168548584
Finish No.290 image, Processing time : 9.640604734420776
Finish No.291 image, Processing time : 9.730692625045776
Finish No.292 image, Processing time : 9.195905447006226
Finish No.293 image, Processing time : 9.906091928482056
Finish No.294 image, Processing time : 9.738094568252563
Finish No.295 image, Processing time : 9.597078084945679
Finish No.296 image, Processing time : 9.832564115524292
Finish No.297 image, Processing time : 9.26900339126587
Finish No.298 image, Processing time : 9.912911891937256
Finish No.299 image, Processing time : 9.76397180557251
Finish No.300 image, Processing time : 9.727544069290161
Finish No.301 image, Processing time : 9.65514850616455
Finish No.302 image, Processing time : 9.262133359909058
Finish No.303 image, Processing time : 9.268401622772217
Finish No.304 image, Processing time : 9.242535829544067
Finish No.305 image, Processing time : 9.95157766342163
Finish No.306 image, Processing time : 9.336569547653198
Finish No.307 image, Processing time : 9.90446949005127
Finish No.308 image, Processing time : 9.912871360778809
Finish No.309 image, Processing time : 9.988702774047852
Finish No.310 image, Processing time : 9.18644905090332
Finish No.311 image, Processing time : 10.029136657714844
Finish No.312 image, Processing time : 10.014744520187378
Finish No.313 image, Processing time : 9.411051034927368
Finish No.314 image, Processing time : 10.0532865524292
Finish No.315 image, Processing time : 9.991122722625732
Finish No.316 image, Processing time : 9.944075584411621
Finish No.317 image, Processing time : 10.02988862991333
Finish No.318 image, Processing time : 9.424983501434326
Finish No.319 image, Processing time : 10.05742335319519
Finish No.320 image, Processing time : 9.9623441696167
Finish No.321 image, Processing time : 10.028491735458374
Finish No.322 image, Processing time : 10.011843204498291
Finish No.323 image, Processing time : 9.263604879379272
Finish No.324 image, Processing time : 9.37191915512085
Finish No.325 image, Processing time : 10.12807583808899
Finish No.326 image, Processing time : 10.074126243591309
Finish No.327 image, Processing time : 10.206392288208008
Finish No.328 image, Processing time : 9.635486364364624
Finish No.329 image, Processing time : 10.128750562667847
Finish No.330 image, Processing time : 10.201525211334229
Finish No.331 image, Processing time : 9.682973623275757
Finish No.332 image, Processing time : 9.629388570785522
Finish No.333 image, Processing time : 10.310485363006592
Finish No.334 image, Processing time : 10.252608060836792
Finish No.335 image, Processing time : 10.211557149887085
Finish No.336 image, Processing time : 9.66657042503357
Finish No.337 image, Processing time : 9.79698133468628
Finish No.338 image, Processing time : 10.439521789550781
Finish No.339 image, Processing time : 9.747540712356567
Finish No.340 image, Processing time : 9.923300981521606
Finish No.341 image, Processing time : 9.73429012298584
Finish No.342 image, Processing time : 10.490765810012817
Finish No.343 image, Processing time : 9.726312160491943
Finish No.344 image, Processing time : 9.707354545593262
Finish No.345 image, Processing time : 10.29285216331482
Finish No.346 image, Processing time : 9.899677991867065
Finish No.347 image, Processing time : 10.529621839523315
Finish No.348 image, Processing time : 10.270309209823608
Finish No.349 image, Processing time : 10.258942127227783
Finish No.350 image, Processing time : 10.486201524734497
Finish No.351 image, Processing time : 10.3732328414917
Finish No.352 image, Processing time : 9.833202838897705
Finish No.353 image, Processing time : 9.832389116287231
Finish No.354 image, Processing time : 10.466846942901611
Finish No.355 image, Processing time : 10.36721158027649
Finish No.356 image, Processing time : 9.795651912689209
Finish No.357 image, Processing time : 10.661646842956543
Finish No.358 image, Processing time : 10.018029689788818
Finish No.359 image, Processing time : 10.70889687538147
Finish No.360 image, Processing time : 10.625255107879639
Finish No.361 image, Processing time : 10.67176365852356
Finish No.362 image, Processing time : 10.066723823547363
Finish No.363 image, Processing time : 10.578545808792114
Finish No.364 image, Processing time : 10.572781562805176
Finish No.365 image, Processing time : 10.615564346313477
Finish No.366 image, Processing time : 10.593227624893188
Finish No.367 image, Processing time : 10.470898628234863
Finish No.368 image, Processing time : 10.638027906417847
Finish No.369 image, Processing time : 10.721417903900146
Finish No.370 image, Processing time : 10.960715055465698
Finish No.371 image, Processing time : 10.334568500518799
Finish No.372 image, Processing time : 10.961536884307861
Finish No.373 image, Processing time : 10.821594953536987
Finish No.374 image, Processing time : 10.87237811088562
Finish No.375 image, Processing time : 10.379565000534058
Finish No.376 image, Processing time : 11.012319564819336
Finish No.377 image, Processing time : 10.931220769882202
Finish No.378 image, Processing time : 10.521988868713379
Finish No.379 image, Processing time : 10.927918434143066
Finish No.380 image, Processing time : 11.219896078109741
Finish No.381 image, Processing time : 10.376803398132324
Finish No.382 image, Processing time : 11.290514707565308
Finish No.383 image, Processing time : 11.213358879089355
Finish No.384 image, Processing time : 11.239110231399536
Finish No.385 image, Processing time : 11.214296340942383
Finish No.386 image, Processing time : 11.419357538223267
Finish No.387 image, Processing time : 11.369896411895752
Finish No.388 image, Processing time : 11.395537376403809
Finish No.389 image, Processing time : 11.499505281448364
Finish No.390 image, Processing time : 10.925367832183838
Finish No.391 image, Processing time : 11.772382497787476
Finish No.392 image, Processing time : 11.490978002548218
Finish No.393 image, Processing time : 11.552396535873413
Finish No.394 image, Processing time : 9.127992153167725
Finish No.395 image, Processing time : 8.737356901168823
Finish No.396 image, Processing time : 8.872557878494263
Finish No.397 image, Processing time : 8.828953742980957
Finish No.398 image, Processing time : 8.827887296676636
Finish No.399 image, Processing time : 8.890877723693848
Finish No.400 image, Processing time : 8.887004852294922
Finish No.401 image, Processing time : 8.758721113204956
Finish No.402 image, Processing time : 7.886472463607788
Finish No.403 image, Processing time : 8.109747648239136
Finish No.404 image, Processing time : 9.009195327758789
Finish No.405 image, Processing time : 8.832287311553955
Finish No.406 image, Processing time : 8.935713768005371
Finish No.407 image, Processing time : 9.173564434051514
Finish No.408 image, Processing time : 8.918702363967896
Finish No.409 image, Processing time : 8.439373016357422
Finish No.410 image, Processing time : 8.873612880706787
Finish No.411 image, Processing time : 8.74473762512207
Finish No.412 image, Processing time : 9.049920082092285
Finish No.413 image, Processing time : 9.212750434875488
Finish No.414 image, Processing time : 8.961111783981323
Finish No.415 image, Processing time : 9.109304666519165
Finish No.416 image, Processing time : 9.014693975448608
Finish No.417 image, Processing time : 9.07469892501831
Finish No.418 image, Processing time : 8.901458024978638
Finish No.419 image, Processing time : 9.047153234481812
Finish No.420 image, Processing time : 8.910138368606567
Finish No.421 image, Processing time : 9.131408214569092
Finish No.422 image, Processing time : 8.805425882339478
Finish No.423 image, Processing time : 9.108262062072754
Finish No.424 image, Processing time : 8.741002559661865
Finish No.425 image, Processing time : 9.221404314041138
Finish No.426 image, Processing time : 9.091317415237427
Finish No.427 image, Processing time : 9.012033462524414
Finish No.428 image, Processing time : 9.102554082870483
Finish No.429 image, Processing time : 9.171864748001099
Finish No.430 image, Processing time : 9.055217027664185
Finish No.431 image, Processing time : 8.983481407165527
Finish No.432 image, Processing time : 9.034111022949219
Finish No.433 image, Processing time : 9.21324610710144
Finish No.434 image, Processing time : 9.018518209457397
Finish No.435 image, Processing time : 8.835533618927002
Finish No.436 image, Processing time : 9.106858968734741
Finish No.437 image, Processing time : 8.64989686012268
Finish No.438 image, Processing time : 9.26878309249878
Finish No.439 image, Processing time : 8.810265064239502
Finish No.440 image, Processing time : 9.0594642162323
Finish No.441 image, Processing time : 8.538071393966675
Finish No.442 image, Processing time : 8.906204462051392
Finish No.443 image, Processing time : 8.720940828323364
Finish No.444 image, Processing time : 9.089950799942017
Finish No.445 image, Processing time : 9.045145273208618
