Finish No.222 image, Processing time : 4.916679859161377
Finish No.223 image, Processing time : 4.904520750045776
Finish No.224 image, Processing time : 4.88297176361084
Finish No.225 image, Processing time : 4.886931657791138
Finish No.226 image, Processing time : 4.971491575241089
Finish No.227 image, Processing time : 5.024866104125977
Finish No.228 image, Processing time : 5.082478761672974
Finish No.229 image, Processing time : 4.961242198944092
Finish No.230 image, Processing time : 4.940276861190796
Finish No.231 image, Processing time : 5.079918384552002
Finish No.232 image, Processing time : 4.955651760101318
Finish No.233 image, Processing time : 5.063242197036743
Finish No.234 image, Processing time : 4.999099969863892
Finish No.235 image, Processing time : 4.996351957321167
Finish No.236 image, Processing time : 5.026746988296509
Finish No.237 image, Processing time : 5.025086402893066
Finish No.238 image, Processing time : 4.921653509140015
Finish No.239 image, Processing time : 4.932348012924194
Finish No.240 image, Processing time : 5.094932556152344
Finish No.241 image, Processing time : 4.973618268966675
Finish No.242 image, Processing time : 5.076850414276123
Finish No.243 image, Processing time : 4.922305107116699
Finish No.244 image, Processing time : 5.0008625984191895
Finish No.245 image, Processing time : 4.920974969863892
Finish No.246 image, Processing time : 4.921069383621216
Finish No.247 image, Processing time : 5.033618927001953
Finish No.248 image, Processing time : 5.003596305847168
Finish No.249 image, Processing time : 4.9676268100738525
Finish No.250 image, Processing time : 5.049706220626831
Finish No.251 image, Processing time : 5.015003204345703
Finish No.252 image, Processing time : 5.007454872131348
Finish No.253 image, Processing time : 5.073852062225342
Finish No.254 image, Processing time : 5.0774085521698
Finish No.255 image, Processing time : 5.058207273483276
Finish No.256 image, Processing time : 5.098522901535034
Finish No.257 image, Processing time : 5.132343769073486
Finish No.258 image, Processing time : 5.101391792297363
Finish No.259 image, Processing time : 5.055233716964722
Finish No.260 image, Processing time : 5.176086902618408
Finish No.261 image, Processing time : 5.117432117462158
Finish No.262 image, Processing time : 5.02570915222168
Finish No.263 image, Processing time : 5.143565654754639
Finish No.264 image, Processing time : 5.132944345474243
Finish No.265 image, Processing time : 5.089804410934448
Finish No.266 image, Processing time : 5.175985097885132
Finish No.267 image, Processing time : 5.165503740310669
Finish No.268 image, Processing time : 5.123820066452026
Finish No.269 image, Processing time : 5.14192533493042
Finish No.270 image, Processing time : 5.227919578552246
Finish No.271 image, Processing time : 5.200208425521851
Finish No.272 image, Processing time : 5.156521797180176
Finish No.273 image, Processing time : 5.143409013748169
Finish No.274 image, Processing time : 5.125349044799805
Finish No.275 image, Processing time : 5.1974732875823975
Finish No.276 image, Processing time : 5.176430702209473
Finish No.277 image, Processing time : 5.175823926925659
Finish No.278 image, Processing time : 5.190280914306641
Finish No.279 image, Processing time : 5.228147268295288
Finish No.280 image, Processing time : 5.143599510192871
Finish No.281 image, Processing time : 5.219240427017212
Finish No.282 image, Processing time : 5.251951694488525
Finish No.283 image, Processing time : 5.205723285675049
Finish No.284 image, Processing time : 5.253762245178223
Finish No.285 image, Processing time : 5.216693162918091
Finish No.286 image, Processing time : 5.274111747741699
Finish No.287 image, Processing time : 5.3245556354522705
Finish No.288 image, Processing time : 5.277410984039307
Finish No.289 image, Processing time : 5.264419794082642
Finish No.290 image, Processing time : 5.1963050365448
Finish No.291 image, Processing time : 5.290951490402222
Finish No.292 image, Processing time : 5.217496156692505
Finish No.293 image, Processing time : 5.3088603019714355
Finish No.294 image, Processing time : 5.24410605430603
Finish No.295 image, Processing time : 5.237277030944824
Finish No.296 image, Processing time : 5.302011251449585
Finish No.297 image, Processing time : 5.298352956771851
Finish No.298 image, Processing time : 5.3061583042144775
Finish No.299 image, Processing time : 5.272680044174194
Finish No.300 image, Processing time : 5.360419511795044
Finish No.301 image, Processing time : 5.220669746398926
Finish No.302 image, Processing time : 5.242456912994385
Finish No.303 image, Processing time : 5.2652058601379395
Finish No.304 image, Processing time : 5.2681779861450195
Finish No.305 image, Processing time : 5.352865695953369
Finish No.306 image, Processing time : 5.339057922363281
Finish No.307 image, Processing time : 5.32286810874939
Finish No.308 image, Processing time : 5.315828561782837
Finish No.309 image, Processing time : 5.403353929519653
Finish No.310 image, Processing time : 5.315639972686768
Finish No.311 image, Processing time : 5.362407207489014
Finish No.312 image, Processing time : 5.3790600299835205
Finish No.313 image, Processing time : 5.336783409118652
Finish No.314 image, Processing time : 5.455099582672119
Finish No.315 image, Processing time : 5.400964975357056
Finish No.316 image, Processing time : 5.364790439605713
Finish No.317 image, Processing time : 5.363890647888184
Finish No.318 image, Processing time : 5.3836448192596436
Finish No.319 image, Processing time : 5.363877773284912
Finish No.320 image, Processing time : 5.436368465423584
Finish No.321 image, Processing time : 5.4342474937438965
Finish No.322 image, Processing time : 5.352163314819336
Finish No.323 image, Processing time : 5.369005441665649
Finish No.324 image, Processing time : 5.352035999298096
Finish No.325 image, Processing time : 5.432005882263184
Finish No.326 image, Processing time : 5.45327353477478
Finish No.327 image, Processing time : 5.451875448226929
Finish No.328 image, Processing time : 5.42926025390625
Finish No.329 image, Processing time : 5.450673580169678
Finish No.330 image, Processing time : 5.440258741378784
Finish No.331 image, Processing time : 5.443761587142944
Finish No.332 image, Processing time : 5.454094409942627
Finish No.333 image, Processing time : 5.500347852706909
Finish No.334 image, Processing time : 5.439578294754028
Finish No.335 image, Processing time : 5.440003395080566
Finish No.336 image, Processing time : 5.534801959991455
Finish No.337 image, Processing time : 5.5401611328125
Finish No.338 image, Processing time : 5.560613632202148
Finish No.339 image, Processing time : 5.535298824310303
Finish No.340 image, Processing time : 5.579742193222046
Finish No.341 image, Processing time : 5.557993173599243
Finish No.342 image, Processing time : 5.504324436187744
Finish No.343 image, Processing time : 5.547789573669434
Finish No.344 image, Processing time : 5.552685737609863
Finish No.345 image, Processing time : 5.605250835418701
Finish No.346 image, Processing time : 5.669628858566284
Finish No.347 image, Processing time : 5.6031272411346436
Finish No.348 image, Processing time : 5.636366367340088
Finish No.349 image, Processing time : 5.643027067184448
Finish No.350 image, Processing time : 5.577217102050781
Finish No.351 image, Processing time : 5.663246393203735
Finish No.352 image, Processing time : 5.626421928405762
Finish No.353 image, Processing time : 5.6024627685546875
Finish No.354 image, Processing time : 5.6578497886657715
Finish No.355 image, Processing time : 5.615880727767944
Finish No.356 image, Processing time : 5.648228406906128
Finish No.357 image, Processing time : 5.653501749038696
Finish No.358 image, Processing time : 5.66399621963501
Finish No.359 image, Processing time : 5.764603614807129
Finish No.360 image, Processing time : 5.715139865875244
Finish No.361 image, Processing time : 5.720858097076416
Finish No.362 image, Processing time : 5.7393879890441895
Finish No.363 image, Processing time : 5.778932094573975
Finish No.364 image, Processing time : 5.733711004257202
Finish No.365 image, Processing time : 5.767008304595947
Finish No.366 image, Processing time : 5.749947786331177
Finish No.367 image, Processing time : 5.753527879714966
Finish No.368 image, Processing time : 5.693567514419556
Finish No.369 image, Processing time : 5.799302101135254
Finish No.370 image, Processing time : 5.907350301742554
Finish No.371 image, Processing time : 5.875079393386841
Finish No.372 image, Processing time : 5.975025415420532
Finish No.373 image, Processing time : 5.887815475463867
Finish No.374 image, Processing time : 5.911947727203369
Finish No.375 image, Processing time : 5.895139694213867
Finish No.376 image, Processing time : 5.917787790298462
Finish No.377 image, Processing time : 5.857323884963989
Finish No.378 image, Processing time : 5.9019176959991455
Finish No.379 image, Processing time : 5.938983917236328
Finish No.380 image, Processing time : 5.990648984909058
Finish No.381 image, Processing time : 5.952519178390503
Finish No.382 image, Processing time : 6.033459901809692
Finish No.383 image, Processing time : 6.077338218688965
Finish No.384 image, Processing time : 6.119853496551514
Finish No.385 image, Processing time : 6.1124632358551025
Finish No.386 image, Processing time : 6.202999114990234
Finish No.387 image, Processing time : 6.175782203674316
Finish No.388 image, Processing time : 6.253001689910889
Finish No.389 image, Processing time : 6.351594924926758
Finish No.390 image, Processing time : 6.365050554275513
Finish No.391 image, Processing time : 6.362234830856323
Finish No.392 image, Processing time : 6.42537522315979
Finish No.393 image, Processing time : 6.367946147918701
Finish No.394 image, Processing time : 4.737059116363525
Finish No.395 image, Processing time : 4.518688440322876
Finish No.396 image, Processing time : 4.523904085159302
Finish No.397 image, Processing time : 4.441628932952881
Finish No.398 image, Processing time : 4.480695962905884
Finish No.399 image, Processing time : 4.400847911834717
Finish No.400 image, Processing time : 4.381260871887207
Finish No.401 image, Processing time : 4.428130865097046
Finish No.402 image, Processing time : 4.414865016937256
Finish No.403 image, Processing time : 4.483092546463013
Finish No.404 image, Processing time : 4.4059062004089355
Finish No.405 image, Processing time : 4.484399318695068
Finish No.406 image, Processing time : 4.51092267036438
Finish No.407 image, Processing time : 4.4871368408203125
Finish No.408 image, Processing time : 4.504764080047607
Finish No.409 image, Processing time : 4.510373592376709
Finish No.410 image, Processing time : 4.549461841583252
Finish No.411 image, Processing time : 4.565849542617798
Finish No.412 image, Processing time : 4.520174741744995
Finish No.413 image, Processing time : 4.54893684387207
Finish No.414 image, Processing time : 4.5282533168792725
Finish No.415 image, Processing time : 4.6212005615234375
Finish No.416 image, Processing time : 4.61396336555481
Finish No.417 image, Processing time : 4.618690729141235
Finish No.418 image, Processing time : 4.582488298416138
Finish No.419 image, Processing time : 4.603199481964111
Finish No.420 image, Processing time : 4.578442573547363
Finish No.421 image, Processing time : 4.600394248962402
Finish No.422 image, Processing time : 4.572145700454712
Finish No.423 image, Processing time : 4.5635175704956055
Finish No.424 image, Processing time : 4.635915994644165
Finish No.425 image, Processing time : 4.603824615478516
Finish No.426 image, Processing time : 4.635451316833496
Finish No.427 image, Processing time : 4.533766269683838
Finish No.428 image, Processing time : 4.6317524909973145
Finish No.429 image, Processing time : 4.526745319366455
Finish No.430 image, Processing time : 4.705180644989014
Finish No.431 image, Processing time : 4.574162244796753
Finish No.432 image, Processing time : 4.668965816497803
Finish No.433 image, Processing time : 4.586253881454468
Finish No.434 image, Processing time : 4.613479137420654
Finish No.435 image, Processing time : 4.558288335800171
Finish No.436 image, Processing time : 4.596350431442261
Finish No.437 image, Processing time : 4.568266868591309
Finish No.438 image, Processing time : 4.581796646118164
Finish No.439 image, Processing time : 4.537656545639038
Finish No.440 image, Processing time : 4.536397933959961
Finish No.441 image, Processing time : 4.571279287338257
Finish No.442 image, Processing time : 4.50411581993103
Finish No.443 image, Processing time : 4.500244379043579
Finish No.444 image, Processing time : 4.531615734100342
Finish No.445 image, Processing time : 4.528036832809448
Finish No.446 image, Processing time : 4.502587795257568
Finish No.447 image, Processing time : 4.559890270233154
Finish No.448 image, Processing time : 4.5479090213775635
Finish No.449 image, Processing time : 4.588195085525513
Finish No.450 image, Processing time : 4.540126323699951
Finish No.451 image, Processing time : 4.553834915161133
Finish No.452 image, Processing time : 4.545840501785278
Finish No.453 image, Processing time : 4.516110897064209
Finish No.454 image, Processing time : 4.458000659942627
Finish No.455 image, Processing time : 4.519770622253418
Finish No.456 image, Processing time : 4.483271837234497
Finish No.457 image, Processing time : 4.51920747756958
Finish No.458 image, Processing time : 4.502574682235718
Finish No.459 image, Processing time : 4.487294435501099
Finish No.460 image, Processing time : 4.54620361328125
Finish No.461 image, Processing time : 4.533926486968994
Finish No.462 image, Processing time : 4.509504795074463
Finish No.463 image, Processing time : 4.542969703674316
Finish No.464 image, Processing time : 4.553287982940674
Finish No.465 image, Processing time : 4.496552467346191
Finish No.466 image, Processing time : 4.576719760894775
Finish No.467 image, Processing time : 4.551503419876099
Finish No.468 image, Processing time : 4.534910202026367
Finish No.469 image, Processing time : 4.519909143447876
Finish No.470 image, Processing time : 4.534050941467285
Finish No.471 image, Processing time : 4.574571847915649
Finish No.472 image, Processing time : 4.569910287857056
Finish No.473 image, Processing time : 4.507546901702881
Finish No.474 image, Processing time : 4.5969460010528564
Finish No.475 image, Processing time : 4.610167980194092
Finish No.476 image, Processing time : 4.63431453704834
Finish No.477 image, Processing time : 4.559194326400757
Finish No.478 image, Processing time : 4.606754541397095
Finish No.479 image, Processing time : 4.550688028335571
Finish No.480 image, Processing time : 4.646386623382568
Finish No.481 image, Processing time : 4.395995616912842
Finish No.482 image, Processing time : 4.554416179656982
Finish No.483 image, Processing time : 4.585159063339233
Finish No.484 image, Processing time : 4.486689567565918
Finish No.485 image, Processing time : 3.580530881881714
Finish No.486 image, Processing time : 4.569653034210205
Finish No.487 image, Processing time : 4.3770060539245605
Finish No.488 image, Processing time : 4.582198619842529
Finish No.489 image, Processing time : 4.546756982803345
Finish No.490 image, Processing time : 4.578347682952881
Finish No.491 image, Processing time : 4.535347938537598
Finish No.492 image, Processing time : 4.61566162109375
Finish No.493 image, Processing time : 4.583938360214233
Finish No.494 image, Processing time : 4.576092958450317
Finish No.495 image, Processing time : 3.605030059814453
Finish No.496 image, Processing time : 4.633941173553467
Finish No.497 image, Processing time : 4.5009918212890625
Finish No.498 image, Processing time : 3.5663559436798096
Finish No.499 image, Processing time : 4.592851638793945
Finish No.500 image, Processing time : 4.646054983139038
Finish No.501 image, Processing time : 4.67546010017395
Finish No.502 image, Processing time : 4.454471588134766
Finish No.503 image, Processing time : 4.711299657821655
Finish No.504 image, Processing time : 4.7386932373046875
Finish No.505 image, Processing time : 4.58032751083374
Finish No.506 image, Processing time : 4.560917854309082
Finish No.507 image, Processing time : 4.544620037078857
Finish No.508 image, Processing time : 4.736833810806274
Finish No.509 image, Processing time : 3.7749125957489014
Finish No.510 image, Processing time : 4.825023412704468
Finish No.511 image, Processing time : 4.699069976806641
Finish No.512 image, Processing time : 4.6949357986450195
Finish No.513 image, Processing time : 4.854424715042114
Finish No.514 image, Processing time : 4.722039699554443
Finish No.515 image, Processing time : 4.8603196144104
Finish No.516 image, Processing time : 4.766308546066284
Finish No.517 image, Processing time : 4.708216905593872
